label_strategy,description,interpretability,class,class_count,class_percentage,model,training_strategy,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc
strategy_a_thresholds,"Fixed latency thresholds: 0-2ms, 2-8ms, 8-25ms, 25ms+",high: classes map directly to stall latency severity,0,178936,99.46857003090743,random_forest,class_weight,0.302770759459483,0.3454708020232441,0.3178031810340407,0.3454708020232441,0.26809645687048794
strategy_a_thresholds,"Fixed latency thresholds: 0-2ms, 2-8ms, 8-25ms, 25ms+",high: classes map directly to stall latency severity,1,855,0.4752851711026616,random_forest,class_weight,0.302770759459483,0.3454708020232441,0.3178031810340407,0.3454708020232441,0.26809645687048794
strategy_a_thresholds,"Fixed latency thresholds: 0-2ms, 2-8ms, 8-25ms, 25ms+",high: classes map directly to stall latency severity,2,81,0.04502701620972584,random_forest,class_weight,0.302770759459483,0.3454708020232441,0.3178031810340407,0.3454708020232441,0.26809645687048794
strategy_a_thresholds,"Fixed latency thresholds: 0-2ms, 2-8ms, 8-25ms, 25ms+",high: classes map directly to stall latency severity,3,20,0.011117781780179218,random_forest,class_weight,0.302770759459483,0.3454708020232441,0.3178031810340407,0.3454708020232441,0.26809645687048794
strategy_b_percentile_qcut,Four percentile buckets from pd.qcut,"medium: balanced classes, but thresholds are dataset-relative",0,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
strategy_b_percentile_qcut,Four percentile buckets from pd.qcut,"medium: balanced classes, but thresholds are dataset-relative",1,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
strategy_b_percentile_qcut,Four percentile buckets from pd.qcut,"medium: balanced classes, but thresholds are dataset-relative",2,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
strategy_b_percentile_qcut,Four percentile buckets from pd.qcut,"medium: balanced classes, but thresholds are dataset-relative",3,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
strategy_c_quantile_min_size,Quantile labels with minimum class-size guard,medium: preserves class sizes while retaining ordered severity,0,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
strategy_c_quantile_min_size,Quantile labels with minimum class-size guard,medium: preserves class sizes while retaining ordered severity,1,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
strategy_c_quantile_min_size,Quantile labels with minimum class-size guard,medium: preserves class sizes while retaining ordered severity,2,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
strategy_c_quantile_min_size,Quantile labels with minimum class-size guard,medium: preserves class sizes while retaining ordered severity,3,44973,25.0,random_forest,class_weight,0.5050757873932498,0.5057450940509216,0.5039852855114937,0.5057450940509216,0.3386376818923915
